Famille;Nom;Portion (g);Energie (kcal/portion);Protéines (g/portion);Glucides (g/portion);Lipides (g/portion);Eau (g/portion)
Gâteaux et pâtisseries;Charlotte aux fruits;100;203;5,2;29,1;6,64;55,7
Gâteaux et pâtisseries;Chou à la crème (chantilly ou pâtissière);100;301;4,45;32,2;16,8;44,3
Gâteaux et pâtisseries;Chou à la crème chantilly;100;350;4,6;22,9;26,4;44,3
Gâteaux et pâtisseries;Chou à la crème pâtissière;100;224;4,3;34,9;7,3;51,7
Gâteaux et pâtisseries;Corne de gazelle (pâtisserie orientale aux amandes et sirop);100;471;8,55;59,3;22,1;8,22
Gâteaux et pâtisseries;Crêpe au froment pré0emballée, nature;100;321;6,45;57,2;7,02;25,5
Gâteaux et pâtisseries;Crêpe au froment, fourrée à la confiture;100;297;6,52;54,3;5,74;30,6
Gâteaux et pâtisseries;Crêpe au froment, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes;100;375;8,15;57,8;11,8;17,8
Gâteaux et pâtisseries;Crêpe au froment, sucrée;100;351;6,33;67,7;5,85;16,2
Gâteaux et pâtisseries;Crêpe ou galette bretonne au sarrasin;100;161;5,83;30,2;1,74;59
Gâteaux et pâtisseries;Crumble aux pommes;100;242;2,7;35,9;8,98;48,7
Gâteaux et pâtisseries;Éclair;100;302;4,66;38,4;14;40,2
Gâteaux et pâtisseries;Far aux pruneaux;100;392;5,5;50,4;18,5;23,3
Gâteaux et pâtisseries;Flan pâtissier aux oeufs ou à la parisienne;100;200;3,82;30,4;7;58
Gâteaux et pâtisseries;Fraisier ou framboisier;100;262;3,3;26,7;15,5;52,6
